From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
7385;12153;sea;8751;-1;-1;-1;-1;;Bohol-Cebu
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands 1
7393;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands 2
13021;4387;sea;8290;-1;-1;-1;-1;;Gilbert Islands 3
13020;4387;sea;8570;-1;-1;-1;-1;;Gilbert Islands 4
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;1370;sea;5868;-1;-1;-1;-1;;Guadalcanal-Pavuvu
10319;1370;sea;5868;-1;-1;-1;-1;;Pavuvu-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;14675;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7113;sea;14676;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11932;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13023;sea;2806;-1;-1;-1;-1;;Marianas 1
13024;13023;sea;2806;-1;-1;-1;-1;;Marianas 2
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;5339;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;5339;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5601;-1;-1;-1;-1;;Honolulu-Kauai
12148;14309;sea;7914;-1;-1;-1;-1;;Society Islands 1
10188;14309;sea;7914;-1;-1;-1;-1;;Society Islands 2
7290;13080;sea;8364;-1;-1;-1;-1;;Western Samoa-Eastern Samoa
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Ellice Islands 1
13056;13057;sea;8419;-1;-1;-1;-1;;Ellice Islands 2
13055;13054;sea;2852;-1;-1;-1;-1;;Ellice Islands 3
14311;14312;sea;640;-1;-1;-1;-1;;Wallis-Futuna
13027;13029;sea;2735;-1;-1;-1;-1;;Carolines 1
13029;13028;sea;4235;-1;-1;-1;-1;;Carolines 2
12103;13028;sea;4235;-1;-1;-1;-1;;Carolines 3
2489;13033;sea;7918;-1;-1;-1;-1;;Carolines 4
13030;13035;sea;2711;-1;-1;-1;-1;;Carolines 5
13031;13035;sea;2711;-1;-1;-1;-1;;Carolines 6
13036;13034;sea;2339;-1;-1;-1;-1;;Carolines 7
13041;13044;sea;7287;-1;-1;-1;-1;;Marshall Islands 1
13042;13043;sea;2414;-1;-1;-1;-1;;Marshall Islands 2
13042;13040;sea;8699;-1;-1;-1;-1;;Marshall Islands 3
13043;13044;sea;2414;-1;-1;-1;-1;;Marshall Islands 4
13041;13039;sea;8750;-1;-1;-1;-1;;Marshall Islands 5
13046;13045;sea;7062;-1;-1;-1;-1;;Marshall Islands 6
1002;13045;sea;2438;-1;-1;-1;-1;;Marshall Islands 7
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
13694;153;sea;2571;-1;-1;-1;-1;;Curacao-Aruba
13692;153;sea;2571;-1;-1;-1;-1;;Curacao-Bonaire
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;1140;sea;2887;-1;-1;-1;-1;;Montserrat-St Kitts
4450;7216;sea;2887;-1;-1;-1;-1;;Montserrat-Antigua and Barbuda
13696;1140;sea;2887;-1;-1;-1;-1;;Sint Eustatius-St Kitts
13696;13084;sea;2887;-1;-1;-1;-1;;Sint Eustatius-St Martin
13084;4155;sea;5507;-1;-1;-1;-1;;St Martin-Tortola
13697;4155;sea;5507;-1;-1;-1;-1;;St Thomas-Tortola
13084;12816;sea;2887;-1;-1;-1;-1;;St Martin-Anguilla
1440;13697;sea;5507;-1;-1;-1;-1;;Puerto Rico-St Thomas
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
3401;13637;sea;6801;-1;-1;-1;-1;;Cyclades
13641;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
13640;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Samos-Turkey
6550;13638;sea;7226;-1;-1;-1;-1;;Samos-Ikaria
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
10011;12060;sea;7932;-1;-1;-1;-1;;Tsushima-Korea
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;13733;sea;3590;-1;-1;-1;-1;;Hebrides
6205;13733;sea;3590;-1;-1;-1;-1;;Hebrides
11266;13732;sea;2824;-1;-1;-1;-1;;Hebrides
13641;13640;sea;7452;-1;-1;-1;-1;;Aegean Islands
1424;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
13210;6449;sea;2871;-1;-1;-1;-1;;Channel Isles
13257;3924;sea;5812;-1;-1;-1;-1;;Dalmatia
13071;13258;sea;210;-1;-1;-1;-1;;Gran Canaria-Tenerife
1751;13259;sea;8453;-1;-1;-1;-1;;Azores
9388;13262;sea;2358;-1;-1;-1;-1;;Stralsund-Rugen
11366;13263;sea;2729;-1;-1;-1;-1;;North Frisian Islands
13293;13297;sea;4240;-1;-1;-1;-1;;Phu Quoc-Cambodia
12171;13302;sea;2857;-1;-1;-1;-1;;Sabah-Labuan
12299;10313;sea;5539;-1;-1;-1;-1;;Singapore-Malaya
13508;13509;sea;2562;-1;-1;-1;-1;;Maldives
13510;13509;sea;2515;-1;-1;-1;-1;;Maldives
13510;4967;sea;2491;-1;-1;-1;-1;;Maldives
13072;13504;sea;2605;-1;-1;-1;-1;;Comoros-Mayotte
13072;13505;sea;2605;-1;-1;-1;-1;;Comoros
13506;13505;sea;2605;-1;-1;-1;-1;;Comoros
13548;11833;sea;5579;-1;-1;-1;-1;;Italy-Elba
13563;13564;sea;2800;-1;-1;-1;-1;;Saudi Arabia-Farasan
10099;13586;sea;5388;-1;-1;-1;-1;;Sinai-Tiran
12101;13586;sea;5388;-1;-1;-1;-1;;Saudi Arabia-Tiran
13210;13594;sea;2871;-1;-1;-1;-1;;Channel Islands
3325;13595;sea;2408;-1;-1;-1;-1;;Fyn-Samsø
6393;3305;sea;2382;-1;-1;-1;-1;;Sjaelland-Lolland
6889;13603;sea;5838;-1;-1;-1;-1;;Dalmatian Islands
3868;13603;sea;5838;-1;-1;-1;-1;;Dalmatian Islands
3868;13601;sea;5838;-1;-1;-1;-1;;Dalmatian Islands
13614;13615;sea;7910;-1;-1;-1;-1;;Florida-Key West
11859;13618;sea;2875;-1;-1;-1;-1;;California-Channel Islands
9814;13617;sea;2875;-1;-1;-1;-1;;California-Santa Catalina Island
13690;10912;sea;2597;-1;-1;-1;-1;;Venezuela-Nueva Esparta
13690;13691;sea;2597;-1;-1;-1;-1;;Nueva Esparta-Islands
4600;13703;sea;5735;-1;-1;-1;-1;;Cuba-Juventud
4476;13701;sea;5735;-1;-1;-1;-1;;Cuba-Cayo Anclitas
13716;13717;sea;5990;-1;-1;-1;-1;;Coral Sea Islands
13719;13717;sea;5990;-1;-1;-1;-1;;Coral Sea Islands
13728;6526;sea;3528;-1;-1;-1;-1;;Scilly-Great Britain
11064;13734;sea;3195;-1;-1;-1;-1;;Scapa Flow
10062;14087;sea;5269;-1;-1;-1;-1;;Hong Kong-Hong Kong Island
2196;14100;sea;5394;-1;-1;-1;-1;;Tanganyika-Mafia Island
2196;14104;sea;5394;-1;-1;-1;-1;;Tanganyika-Zanzibar
14107;14104;sea;5394;-1;-1;-1;-1;;Tanganyika-Pemba
13249;13250;sea;7678;-1;-1;-1;-1;;Dardanelles
12698;4720;sea;2935;-1;-1;-1;-1;;Newfoundland-Labrador
14211;7683;sea;8642;-1;-1;-1;-1;;Anticosti-Canada
14219;761;sea;9092;-1;-1;-1;-1;;Akimiski-Canada
14226;13196;sea;8768;-1;-1;-1;-1;;Belcher Islands-Canada
3691;12147;sea;8930;-1;-1;-1;-1;;Canadian Arctic-Canada
14253;1345;sea;5615;-1;-1;-1;-1;;Riau Islands-Sumatra
12113;12184;sea;5539;-1;-1;-1;-1;;Riau Islands-Sumatra
10153;1351;sea;8412;-1;-1;-1;-1;;Sulawesi-Sangihe Islands
12219;12162;sea;2291;-1;-1;-1;-1;;Sumbawa-Sumba
10184;1421;sea;2899;-1;-1;-1;-1;;Sulu-Mindanao
8241;14277;sea;2236;-1;-1;-1;-1;;South Island-Stewart Island
4378;4226;sea;229;-1;-1;-1;-1;;Bougainville-Shortland Islands
12960;14280;sea;2580;-1;-1;-1;-1;;West Falkland-East Falkland
4184;14285;sea;5664;-1;-1;-1;-1;;Kanto-Izu Islands
12213;14282;sea;8676;-1;-1;-1;-1;;Luzon-Batanes
14308;14305;sea;8610;-1;-1;-1;-1;;Tuamotu Islands 1
14305;14301;sea;8638;-1;-1;-1;-1;;Tuamotu Islands 2
14304;14307;sea;259;-1;-1;-1;-1;;Tonga
394;14317;sea;2431;-1;-1;-1;-1;;Jylland-Læsø
14407;7855;sea;8688;-1;-1;-1;-1;;St Lawrence Island-Alaska
14404;7855;sea;8383;-1;-1;-1;-1;;Nunivak Island-Alaska
14423;10577;sea;5321;-1;-1;-1;-1;;Shantar Islands-Russia
10272;7419;sea;2971;-1;-1;-1;-1;;Mindoro-Palawan
9097;14696;sea;1434;-1;-1;-1;-1;;Ingria-Kronstadt
3151;14696;sea;1434;-1;-1;-1;-1;;Leningrad-Kronstadt
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
9680;6741;;-1;-1;-1;-1;-1;KERCH_STRAIT;Kerch Strait
7452;7678;;-1;-1;-1;-1;-1;DARDANELLES_STRAIT;Dardanelles
4679;5240;;-1;-1;-1;-1;-1;BASS_STRAIT;Bass Strait
5563;5364;;-1;-1;-1;-1;-1;TORRES_STRAIT;Torres Strait
8445;2734;;-1;-1;-1;-1;-1;BOHAI_STRAIT;Bohai Strait
7933;7479;;-1;-1;-1;-1;-1;PALK_STRAIT;Palk Strait
2714;2737;;-1;-1;-1;-1;-1;SUNDA_STRAIT;Sunda Strait
11748;5929;;-1;-1;-1;-1;-1;DOVER_STRAIT;Dover Strait
11748;8621;;-1;-1;-1;-1;-1;DOVER_STRAIT;Dover Strait
2800;2776;;-1;-1;-1;-1;-1;BAB_EL_MANDEB_STRAIT;Bab el-Mandeb
2943;2919;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;Strait of Hormuz
5960;5539;;-1;-1;-1;-1;-1;MALACCA_STRAIT;Strait of Malacca
5322;5345;;-1;-1;-1;-1;-1;TAIWAN_STRAIT;Taiwan Strait
8774;2857;;-1;-1;-1;-1;-1;BALABAC_STRAIT;Balabac Strait
2708;7932;;-1;-1;-1;-1;-1;KOREA_STRAIT;Korea Strait
5864;5838;;-1;-1;-1;-1;-1;OTRANTO_STRAIT;Strait of Otranto
13588;5388;;-1;-1;-1;-1;-1;TIRAN_STRAIT;Straits of Tiran
1660;1434;;-1;-1;-1;-1;-1;PORKKALA_STRAIT;Porkkala Strait
8668;2935;;-1;-1;-1;-1;-1;BELLE_ISLE_STRAIT;Strait of Belle Isle
2510;5295;;-1;-1;-1;-1;-1;TARTARY_STRAIT;Strait of Tartary
5707;5681;;-1;-1;-1;-1;-1;MESSINA_STRAIT;Strait of Messina
5579;8895;;-1;-1;-1;-1;-1;BONIFACIO_STRAIT;Strait of Bonifacio
5840;5866;;-1;-1;-1;-1;-1;YUCATAN_STRAIT;Yucatan Channel
8340;2824;;-1;-1;-1;-1;-1;MOYLE_STRAIT;Straits of Moyle
4465;2583;;-1;-1;-1;-1;-1;LA_PEROUSE_STRAIT;La Pérouse Strait
4465;2534;;-1;-1;-1;-1;-1;LA_PEROUSE_STRAIT;La Pérouse Strait
5946;6824;;-1;-1;-1;-1;-1;TSUGARU_STRAIT;Tsugaru Strait
7932;14674;;-1;-1;-1;-1;-1;KANMON_STRAIT;Kanmon Strait
14674;8791;;-1;-1;-1;-1;-1;BUNGO_STRAIT;Bungo Channel
14673;14676;;-1;-1;-1;-1;-1;KII_STRAIT;Kii Channel
8621;14743;;-1;-1;-1;-1;-1;SCHELDT_ESTUARY;Scheldt Estuary
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
7374;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
14329;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
12892;4900;impassable;-1;-1;-1;-1;-1;;Himalayas
12892;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
13982;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;14690;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
4969;10482;impassable;-1;-1;-1;-1;-1;;Darien Gap
3898;6915;impassable;-1;-1;-1;-1;-1;;Pyrenees
3898;6931;impassable;-1;-1;-1;-1;-1;;Pyrenees
3898;3915;impassable;-1;-1;-1;-1;-1;;Pyrenees
3899;3915;impassable;-1;-1;-1;-1;-1;;Pyrenees
3899;9882;impassable;-1;-1;-1;-1;-1;;Pyrenees
899;9882;impassable;-1;-1;-1;-1;-1;;Pyrenees
915;9882;impassable;-1;-1;-1;-1;-1;;Pyrenees
915;9884;impassable;-1;-1;-1;-1;-1;;Pyrenees
11838;9884;impassable;-1;-1;-1;-1;-1;;Pyrenees
9613;6673;impassable;-1;-1;-1;-1;-1;;Kärnten-Friuli Alps
3657;6673;impassable;-1;-1;-1;-1;-1;;Kärnten-Friuli Alps
656;6673;impassable;-1;-1;-1;-1;-1;;Kärnten-Friuli Alps
656;671;impassable;-1;-1;-1;-1;-1;;Kärnten-Friuli Alps
14085;11664;impassable;-1;-1;-1;-1;-1;;Caucasus Mountains
14085;6674;impassable;-1;-1;-1;-1;-1;;Caucasus Mountains
14084;6674;impassable;-1;-1;-1;-1;-1;;Caucasus Mountains
14084;9632;impassable;-1;-1;-1;-1;-1;;Caucasus Mountains
-1;-1;;-1;-1;-1;-1;-1;-1
